﻿início_do_intervalo,término_do_intervalo,conclusão_do_intervalo,tipo_de_mídia,agregado_ou_detalhado,id_do_código_de_finalização,nome_do_código_de_finalização,id_da_fila,nome_da_fila,tratamento_médio,conversação_média,tempo_médio_em_espera,tpc_médio,tratamento,em_espera
30/06/25 00:00,01/07/25 00:00,FALSO,voz,Agregar,24ac4fda-d759-48e0-b70a-6192846f220c,Atendimento Concluido,,, 00:05:33.553, 00:05:32.345,, 00:00:01.208,13,
30/06/25 00:00,01/07/25 00:00,FALSO,voz,Detalhado,24ac4fda-d759-48e0-b70a-6192846f220c,Atendimento Concluido,c79bf302-1f88-4c60-9503-eb851ac810cc,FILA_CALM, 00:05:01.319, 00:05:00.123,, 00:00:01.195,11,
30/06/25 00:00,01/07/25 00:00,FALSO,voz,Detalhado,24ac4fda-d759-48e0-b70a-6192846f220c,Atendimento Concluido,ecc2533c-eb66-4757-af5e-184133bc54d5,FILA_CALM_RECHAMADA, 00:08:30.840, 00:08:29.563,, 00:00:01.277,2,
30/06/25 00:00,01/07/25 00:00,FALSO,voz,Agregar,78624b4d-0285-4136-8ec9-6448ad0f1418,Cliente abaixo do valor mínimo (e-commerce),,, 00:01:07.622, 00:00:49.829,, 00:00:17.792,2,
30/06/25 00:00,01/07/25 00:00,FALSO,voz,Detalhado,78624b4d-0285-4136-8ec9-6448ad0f1418,Cliente abaixo do valor mínimo (e-commerce),1c88ce75-92eb-43c9-b4fa-fa74ffc5c016,TL_HUB_CENTRAL_PF, 00:01:17.016, 00:00:50.595,, 00:00:26.421,1,
30/06/25 00:00,01/07/25 00:00,FALSO,voz,Detalhado,78624b4d-0285-4136-8ec9-6448ad0f1418,Cliente abaixo do valor mínimo (e-commerce),91801b6d-27d9-4c30-a2d3-0a82eb2383d2,TL_HUB_CENTRAL_PJ, 00:00:58.228, 00:00:49.064,, 00:00:09.164,1,
30/06/25 00:00,01/07/25 00:00,FALSO,voz,Agregar,cca5f0ec-dbbf-4c75-ada3-35b2c2865844,Confirmação de estoque,,, 00:04:03.967, 00:03:30.922,, 00:00:33.044,342,
30/06/25 00:00,01/07/25 00:00,FALSO,voz,Detalhado,cca5f0ec-dbbf-4c75-ada3-35b2c2865844,Confirmação de estoque,1c88ce75-92eb-43c9-b4fa-fa74ffc5c016,TL_HUB_CENTRAL_PF, 00:03:53.879, 00:03:29.007,, 00:00:24.872,298,
30/06/25 00:00,01/07/25 00:00,FALSO,voz,Detalhado,cca5f0ec-dbbf-4c75-ada3-35b2c2865844,Confirmação de estoque,91801b6d-27d9-4c30-a2d3-0a82eb2383d2,TL_HUB_CENTRAL_PJ, 00:05:12.287, 00:03:43.894,, 00:01:28.393,44,
30/06/25 00:00,01/07/25 00:00,FALSO,voz,Agregar,53f9f3ca-e490-475b-ad44-003b6814c73e,Desconto PIX 3P,,, 00:02:42.129, 00:02:36.118,, 00:00:06.011,10,
