﻿início_do_intervalo,fim_do_intervalo,intervalo_concluído,tipo_de_mídia,id_da_fila,nome_da_fila,oferta,resposta,%_de_resposta,abandono,%_de_abandono,vma,%_de_nível_de_serviço,tempo_médio_de_espera,tratamento_médio,conversação_média,espera_média,tpc_médio,em_espera
28/06/25 00:00,28/06/25 00:30,VERDADEIRO,voz,f9ef87b7-ec2b-47c1-b068-991af8cdff6f; 1bd45077-6d50-4739-8b8f-0364b20d7e77,LOJA_GE; TRANSPORTE_GE,,,,,,,,,,,,,
28/06/25 00:30,28/06/25 01:00,VERDADEIRO,voz,f9ef87b7-ec2b-47c1-b068-991af8cdff6f; 1bd45077-6d50-4739-8b8f-0364b20d7e77,LOJA_GE; TRANSPORTE_GE,,,,,,,,,,,,,
28/06/25 01:00,28/06/25 01:30,VERDADEIRO,voz,f9ef87b7-ec2b-47c1-b068-991af8cdff6f; 1bd45077-6d50-4739-8b8f-0364b20d7e77,LOJA_GE; TRANSPORTE_GE,,,,,,,,,,,,,
28/06/25 01:30,28/06/25 02:00,VERDADEIRO,voz,f9ef87b7-ec2b-47c1-b068-991af8cdff6f; 1bd45077-6d50-4739-8b8f-0364b20d7e77,LOJA_GE; TRANSPORTE_GE,,,,,,,,,,,,,
28/06/25 02:00,28/06/25 02:30,VERDADEIRO,voz,f9ef87b7-ec2b-47c1-b068-991af8cdff6f; 1bd45077-6d50-4739-8b8f-0364b20d7e77,LOJA_GE; TRANSPORTE_GE,,,,,,,,,,,,,
28/06/25 02:30,28/06/25 03:00,VERDADEIRO,voz,f9ef87b7-ec2b-47c1-b068-991af8cdff6f; 1bd45077-6d50-4739-8b8f-0364b20d7e77,LOJA_GE; TRANSPORTE_GE,,,,,,,,,,,,,
28/06/25 03:00,28/06/25 03:30,VERDADEIRO,voz,f9ef87b7-ec2b-47c1-b068-991af8cdff6f; 1bd45077-6d50-4739-8b8f-0364b20d7e77,LOJA_GE; TRANSPORTE_GE,,,,,,,,,,,,,
28/06/25 03:30,28/06/25 04:00,VERDADEIRO,voz,f9ef87b7-ec2b-47c1-b068-991af8cdff6f; 1bd45077-6d50-4739-8b8f-0364b20d7e77,LOJA_GE; TRANSPORTE_GE,,,,,,,,,,,,,
28/06/25 04:00,28/06/25 04:30,VERDADEIRO,voz,f9ef87b7-ec2b-47c1-b068-991af8cdff6f; 1bd45077-6d50-4739-8b8f-0364b20d7e77,LOJA_GE; TRANSPORTE_GE,,,,,,,,,,,,,
28/06/25 04:30,28/06/25 05:00,VERDADEIRO,voz,f9ef87b7-ec2b-47c1-b068-991af8cdff6f; 1bd45077-6d50-4739-8b8f-0364b20d7e77,LOJA_GE; TRANSPORTE_GE,,,,,,,,,,,,,
28/06/25 05:00,28/06/25 05:30,VERDADEIRO,voz,f9ef87b7-ec2b-47c1-b068-991af8cdff6f; 1bd45077-6d50-4739-8b8f-0364b20d7e77,LOJA_GE; TRANSPORTE_GE,,,,,,,,,,,,,
28/06/25 05:30,28/06/25 06:00,VERDADEIRO,voz,f9ef87b7-ec2b-47c1-b068-991af8cdff6f; 1bd45077-6d50-4739-8b8f-0364b20d7e77,LOJA_GE; TRANSPORTE_GE,,,,,,,,,,,,,
28/06/25 06:00,28/06/25 06:30,VERDADEIRO,voz,f9ef87b7-ec2b-47c1-b068-991af8cdff6f; 1bd45077-6d50-4739-8b8f-0364b20d7e77,LOJA_GE; TRANSPORTE_GE,,,,,,,,,,,,,
28/06/25 06:30,28/06/25 07:00,VERDADEIRO,voz,f9ef87b7-ec2b-47c1-b068-991af8cdff6f; 1bd45077-6d50-4739-8b8f-0364b20d7e77,LOJA_GE; TRANSPORTE_GE,,,,,,,,,,,,,
28/06/25 07:00,28/06/25 07:30,VERDADEIRO,voz,f9ef87b7-ec2b-47c1-b068-991af8cdff6f; 1bd45077-6d50-4739-8b8f-0364b20d7e77,LOJA_GE; TRANSPORTE_GE,,,,,,,,,,,,,
28/06/25 07:30,28/06/25 08:00,VERDADEIRO,voz,f9ef87b7-ec2b-47c1-b068-991af8cdff6f; 1bd45077-6d50-4739-8b8f-0364b20d7e77,LOJA_GE; TRANSPORTE_GE,,,,,,,,,,,,,
28/06/25 08:00,28/06/25 08:30,VERDADEIRO,voz,f9ef87b7-ec2b-47c1-b068-991af8cdff6f; 1bd45077-6d50-4739-8b8f-0364b20d7e77,LOJA_GE; TRANSPORTE_GE,15.0,15.0,1.0,,, 00:00:01.452,1.0, 00:00:01.452, 00:04:32.760, 00:02:17.473, 00:06:42.861, 00:00:01.000,3.0
28/06/25 08:30,28/06/25 09:00,VERDADEIRO,voz,f9ef87b7-ec2b-47c1-b068-991af8cdff6f; 1bd45077-6d50-4739-8b8f-0364b20d7e77,LOJA_GE; TRANSPORTE_GE,21.0,21.0,1.0,,, 00:00:01.274,1.0, 00:00:01.274, 00:07:07.269, 00:04:11.244, 00:04:22.537, 00:00:01.000,14.0
28/06/25 09:00,28/06/25 09:30,VERDADEIRO,voz,f9ef87b7-ec2b-47c1-b068-991af8cdff6f; 1bd45077-6d50-4739-8b8f-0364b20d7e77,LOJA_GE; TRANSPORTE_GE,32.0,32.0,1.0,,, 00:00:02.310,1.0, 00:00:02.310, 00:05:31.511, 00:03:35.026, 00:04:03.921, 00:00:01.000,21.0
28/06/25 09:30,28/06/25 10:00,VERDADEIRO,voz,f9ef87b7-ec2b-47c1-b068-991af8cdff6f; 1bd45077-6d50-4739-8b8f-0364b20d7e77,LOJA_GE; TRANSPORTE_GE,24.0,24.0,1.0,,, 00:00:00.976,1.0, 00:00:00.976, 00:06:43.419, 00:03:13.168, 00:04:08.131, 00:00:01.000,16.0
28/06/25 10:00,28/06/25 10:30,VERDADEIRO,voz,f9ef87b7-ec2b-47c1-b068-991af8cdff6f; 1bd45077-6d50-4739-8b8f-0364b20d7e77,LOJA_GE; TRANSPORTE_GE,22.0,22.0,1.0,,, 00:00:00.301,1.0, 00:00:00.301, 00:07:20.661, 00:03:51.059, 00:05:25.940, 00:00:01.000,16.0
28/06/25 10:30,28/06/25 11:00,VERDADEIRO,voz,f9ef87b7-ec2b-47c1-b068-991af8cdff6f; 1bd45077-6d50-4739-8b8f-0364b20d7e77,LOJA_GE; TRANSPORTE_GE,27.0,27.0,1.0,,, 00:00:00.541,1.0, 00:00:00.541, 00:05:50.208, 00:03:02.690, 00:04:57.354, 00:00:01.000,14.0
28/06/25 11:00,28/06/25 11:30,VERDADEIRO,voz,f9ef87b7-ec2b-47c1-b068-991af8cdff6f; 1bd45077-6d50-4739-8b8f-0364b20d7e77,LOJA_GE; TRANSPORTE_GE,30.0,30.0,1.0,,, 00:00:16.973,0.9666666666666668, 00:00:16.973, 00:06:41.246, 00:03:10.722, 00:04:49.342, 00:00:01.000,21.0
28/06/25 11:30,28/06/25 12:00,VERDADEIRO,voz,f9ef87b7-ec2b-47c1-b068-991af8cdff6f; 1bd45077-6d50-4739-8b8f-0364b20d7e77,LOJA_GE; TRANSPORTE_GE,38.0,38.0,1.0,,, 00:00:05.201,1.0, 00:00:05.201, 00:05:07.560, 00:02:59.217, 00:04:22.177, 00:00:01.000,17.0
