﻿início_do_intervalo,fim_do_intervalo,intervalo_concluído,tipo_de_mídia,id_da_fila,nome_da_fila,oferta,resposta,%_de_resposta,abandono,%_de_abandono,vma,%_de_nível_de_serviço,tempo_médio_de_espera,tratamento_médio,conversação_média,espera_média,tpc_médio,em_espera,transferir
28/06/25 00:00,28/06/25 00:30,VERDADEIRO,voz,59b8462e-6fb1-4fdc-b010-e2c80b1b25ad; e4cb2e7c-9ffc-4051-b0ef-57e3aa5db123; f9367b19-969b-4437-8fc6-85028c7a07d4; e67962a4-c0fd-4a1b-a337-5c5c90070d6b; c79bf302-1f88-4c60-9503-eb851ac810cc; ecc2533c-eb66-4757-af5e-184133bc54d5; 89311e6f-a2a9-4c1e-88b8-52f244b1a3c7,Atendimento - Chat LIA; CALM - WhatsApp; CALM_CONCIERGE; CALM_CONCIERGE_WHATSAPP; FILA_CALM; FILA_CALM_RECHAMADA; FILA_CALM_RECHAMADA_WHATSAPP,,,,,,,,,,,,,,
28/06/25 00:30,28/06/25 01:00,VERDADEIRO,voz,59b8462e-6fb1-4fdc-b010-e2c80b1b25ad; e4cb2e7c-9ffc-4051-b0ef-57e3aa5db123; f9367b19-969b-4437-8fc6-85028c7a07d4; e67962a4-c0fd-4a1b-a337-5c5c90070d6b; c79bf302-1f88-4c60-9503-eb851ac810cc; ecc2533c-eb66-4757-af5e-184133bc54d5; 89311e6f-a2a9-4c1e-88b8-52f244b1a3c7,Atendimento - Chat LIA; CALM - WhatsApp; CALM_CONCIERGE; CALM_CONCIERGE_WHATSAPP; FILA_CALM; FILA_CALM_RECHAMADA; FILA_CALM_RECHAMADA_WHATSAPP,,,,,,,,,,,,,,
28/06/25 01:00,28/06/25 01:30,VERDADEIRO,voz,59b8462e-6fb1-4fdc-b010-e2c80b1b25ad; e4cb2e7c-9ffc-4051-b0ef-57e3aa5db123; f9367b19-969b-4437-8fc6-85028c7a07d4; e67962a4-c0fd-4a1b-a337-5c5c90070d6b; c79bf302-1f88-4c60-9503-eb851ac810cc; ecc2533c-eb66-4757-af5e-184133bc54d5; 89311e6f-a2a9-4c1e-88b8-52f244b1a3c7,Atendimento - Chat LIA; CALM - WhatsApp; CALM_CONCIERGE; CALM_CONCIERGE_WHATSAPP; FILA_CALM; FILA_CALM_RECHAMADA; FILA_CALM_RECHAMADA_WHATSAPP,,,,,,,,,,,,,,
28/06/25 01:30,28/06/25 02:00,VERDADEIRO,voz,59b8462e-6fb1-4fdc-b010-e2c80b1b25ad; e4cb2e7c-9ffc-4051-b0ef-57e3aa5db123; f9367b19-969b-4437-8fc6-85028c7a07d4; e67962a4-c0fd-4a1b-a337-5c5c90070d6b; c79bf302-1f88-4c60-9503-eb851ac810cc; ecc2533c-eb66-4757-af5e-184133bc54d5; 89311e6f-a2a9-4c1e-88b8-52f244b1a3c7,Atendimento - Chat LIA; CALM - WhatsApp; CALM_CONCIERGE; CALM_CONCIERGE_WHATSAPP; FILA_CALM; FILA_CALM_RECHAMADA; FILA_CALM_RECHAMADA_WHATSAPP,,,,,,,,,,,,,,
28/06/25 02:00,28/06/25 02:30,VERDADEIRO,voz,59b8462e-6fb1-4fdc-b010-e2c80b1b25ad; e4cb2e7c-9ffc-4051-b0ef-57e3aa5db123; f9367b19-969b-4437-8fc6-85028c7a07d4; e67962a4-c0fd-4a1b-a337-5c5c90070d6b; c79bf302-1f88-4c60-9503-eb851ac810cc; ecc2533c-eb66-4757-af5e-184133bc54d5; 89311e6f-a2a9-4c1e-88b8-52f244b1a3c7,Atendimento - Chat LIA; CALM - WhatsApp; CALM_CONCIERGE; CALM_CONCIERGE_WHATSAPP; FILA_CALM; FILA_CALM_RECHAMADA; FILA_CALM_RECHAMADA_WHATSAPP,,,,,,,,,,,,,,
28/06/25 02:30,28/06/25 03:00,VERDADEIRO,voz,59b8462e-6fb1-4fdc-b010-e2c80b1b25ad; e4cb2e7c-9ffc-4051-b0ef-57e3aa5db123; f9367b19-969b-4437-8fc6-85028c7a07d4; e67962a4-c0fd-4a1b-a337-5c5c90070d6b; c79bf302-1f88-4c60-9503-eb851ac810cc; ecc2533c-eb66-4757-af5e-184133bc54d5; 89311e6f-a2a9-4c1e-88b8-52f244b1a3c7,Atendimento - Chat LIA; CALM - WhatsApp; CALM_CONCIERGE; CALM_CONCIERGE_WHATSAPP; FILA_CALM; FILA_CALM_RECHAMADA; FILA_CALM_RECHAMADA_WHATSAPP,,,,,,,,,,,,,,
28/06/25 03:00,28/06/25 03:30,VERDADEIRO,voz,59b8462e-6fb1-4fdc-b010-e2c80b1b25ad; e4cb2e7c-9ffc-4051-b0ef-57e3aa5db123; f9367b19-969b-4437-8fc6-85028c7a07d4; e67962a4-c0fd-4a1b-a337-5c5c90070d6b; c79bf302-1f88-4c60-9503-eb851ac810cc; ecc2533c-eb66-4757-af5e-184133bc54d5; 89311e6f-a2a9-4c1e-88b8-52f244b1a3c7,Atendimento - Chat LIA; CALM - WhatsApp; CALM_CONCIERGE; CALM_CONCIERGE_WHATSAPP; FILA_CALM; FILA_CALM_RECHAMADA; FILA_CALM_RECHAMADA_WHATSAPP,,,,,,,,,,,,,,
28/06/25 03:30,28/06/25 04:00,VERDADEIRO,voz,59b8462e-6fb1-4fdc-b010-e2c80b1b25ad; e4cb2e7c-9ffc-4051-b0ef-57e3aa5db123; f9367b19-969b-4437-8fc6-85028c7a07d4; e67962a4-c0fd-4a1b-a337-5c5c90070d6b; c79bf302-1f88-4c60-9503-eb851ac810cc; ecc2533c-eb66-4757-af5e-184133bc54d5; 89311e6f-a2a9-4c1e-88b8-52f244b1a3c7,Atendimento - Chat LIA; CALM - WhatsApp; CALM_CONCIERGE; CALM_CONCIERGE_WHATSAPP; FILA_CALM; FILA_CALM_RECHAMADA; FILA_CALM_RECHAMADA_WHATSAPP,,,,,,,,,,,,,,
28/06/25 04:00,28/06/25 04:30,VERDADEIRO,voz,59b8462e-6fb1-4fdc-b010-e2c80b1b25ad; e4cb2e7c-9ffc-4051-b0ef-57e3aa5db123; f9367b19-969b-4437-8fc6-85028c7a07d4; e67962a4-c0fd-4a1b-a337-5c5c90070d6b; c79bf302-1f88-4c60-9503-eb851ac810cc; ecc2533c-eb66-4757-af5e-184133bc54d5; 89311e6f-a2a9-4c1e-88b8-52f244b1a3c7,Atendimento - Chat LIA; CALM - WhatsApp; CALM_CONCIERGE; CALM_CONCIERGE_WHATSAPP; FILA_CALM; FILA_CALM_RECHAMADA; FILA_CALM_RECHAMADA_WHATSAPP,,,,,,,,,,,,,,
28/06/25 04:30,28/06/25 05:00,VERDADEIRO,voz,59b8462e-6fb1-4fdc-b010-e2c80b1b25ad; e4cb2e7c-9ffc-4051-b0ef-57e3aa5db123; f9367b19-969b-4437-8fc6-85028c7a07d4; e67962a4-c0fd-4a1b-a337-5c5c90070d6b; c79bf302-1f88-4c60-9503-eb851ac810cc; ecc2533c-eb66-4757-af5e-184133bc54d5; 89311e6f-a2a9-4c1e-88b8-52f244b1a3c7,Atendimento - Chat LIA; CALM - WhatsApp; CALM_CONCIERGE; CALM_CONCIERGE_WHATSAPP; FILA_CALM; FILA_CALM_RECHAMADA; FILA_CALM_RECHAMADA_WHATSAPP,,,,,,,,,,,,,,
28/06/25 05:00,28/06/25 05:30,VERDADEIRO,voz,59b8462e-6fb1-4fdc-b010-e2c80b1b25ad; e4cb2e7c-9ffc-4051-b0ef-57e3aa5db123; f9367b19-969b-4437-8fc6-85028c7a07d4; e67962a4-c0fd-4a1b-a337-5c5c90070d6b; c79bf302-1f88-4c60-9503-eb851ac810cc; ecc2533c-eb66-4757-af5e-184133bc54d5; 89311e6f-a2a9-4c1e-88b8-52f244b1a3c7,Atendimento - Chat LIA; CALM - WhatsApp; CALM_CONCIERGE; CALM_CONCIERGE_WHATSAPP; FILA_CALM; FILA_CALM_RECHAMADA; FILA_CALM_RECHAMADA_WHATSAPP,,,,,,,,,,,,,,
28/06/25 05:30,28/06/25 06:00,VERDADEIRO,voz,59b8462e-6fb1-4fdc-b010-e2c80b1b25ad; e4cb2e7c-9ffc-4051-b0ef-57e3aa5db123; f9367b19-969b-4437-8fc6-85028c7a07d4; e67962a4-c0fd-4a1b-a337-5c5c90070d6b; c79bf302-1f88-4c60-9503-eb851ac810cc; ecc2533c-eb66-4757-af5e-184133bc54d5; 89311e6f-a2a9-4c1e-88b8-52f244b1a3c7,Atendimento - Chat LIA; CALM - WhatsApp; CALM_CONCIERGE; CALM_CONCIERGE_WHATSAPP; FILA_CALM; FILA_CALM_RECHAMADA; FILA_CALM_RECHAMADA_WHATSAPP,,,,,,,,,,,,,,
28/06/25 06:00,28/06/25 06:30,VERDADEIRO,voz,59b8462e-6fb1-4fdc-b010-e2c80b1b25ad; e4cb2e7c-9ffc-4051-b0ef-57e3aa5db123; f9367b19-969b-4437-8fc6-85028c7a07d4; e67962a4-c0fd-4a1b-a337-5c5c90070d6b; c79bf302-1f88-4c60-9503-eb851ac810cc; ecc2533c-eb66-4757-af5e-184133bc54d5; 89311e6f-a2a9-4c1e-88b8-52f244b1a3c7,Atendimento - Chat LIA; CALM - WhatsApp; CALM_CONCIERGE; CALM_CONCIERGE_WHATSAPP; FILA_CALM; FILA_CALM_RECHAMADA; FILA_CALM_RECHAMADA_WHATSAPP,,,,,,,,,,,,,,
28/06/25 06:30,28/06/25 07:00,VERDADEIRO,voz,59b8462e-6fb1-4fdc-b010-e2c80b1b25ad; e4cb2e7c-9ffc-4051-b0ef-57e3aa5db123; f9367b19-969b-4437-8fc6-85028c7a07d4; e67962a4-c0fd-4a1b-a337-5c5c90070d6b; c79bf302-1f88-4c60-9503-eb851ac810cc; ecc2533c-eb66-4757-af5e-184133bc54d5; 89311e6f-a2a9-4c1e-88b8-52f244b1a3c7,Atendimento - Chat LIA; CALM - WhatsApp; CALM_CONCIERGE; CALM_CONCIERGE_WHATSAPP; FILA_CALM; FILA_CALM_RECHAMADA; FILA_CALM_RECHAMADA_WHATSAPP,,,,,,,,,,,,,,
28/06/25 07:00,28/06/25 07:30,VERDADEIRO,voz,59b8462e-6fb1-4fdc-b010-e2c80b1b25ad; e4cb2e7c-9ffc-4051-b0ef-57e3aa5db123; f9367b19-969b-4437-8fc6-85028c7a07d4; e67962a4-c0fd-4a1b-a337-5c5c90070d6b; c79bf302-1f88-4c60-9503-eb851ac810cc; ecc2533c-eb66-4757-af5e-184133bc54d5; 89311e6f-a2a9-4c1e-88b8-52f244b1a3c7,Atendimento - Chat LIA; CALM - WhatsApp; CALM_CONCIERGE; CALM_CONCIERGE_WHATSAPP; FILA_CALM; FILA_CALM_RECHAMADA; FILA_CALM_RECHAMADA_WHATSAPP,,,,,,,,,,,,,,
28/06/25 07:30,28/06/25 08:00,VERDADEIRO,voz,59b8462e-6fb1-4fdc-b010-e2c80b1b25ad; e4cb2e7c-9ffc-4051-b0ef-57e3aa5db123; f9367b19-969b-4437-8fc6-85028c7a07d4; e67962a4-c0fd-4a1b-a337-5c5c90070d6b; c79bf302-1f88-4c60-9503-eb851ac810cc; ecc2533c-eb66-4757-af5e-184133bc54d5; 89311e6f-a2a9-4c1e-88b8-52f244b1a3c7,Atendimento - Chat LIA; CALM - WhatsApp; CALM_CONCIERGE; CALM_CONCIERGE_WHATSAPP; FILA_CALM; FILA_CALM_RECHAMADA; FILA_CALM_RECHAMADA_WHATSAPP,,,,,,,,,,,,,,
28/06/25 08:00,28/06/25 08:30,VERDADEIRO,voz,59b8462e-6fb1-4fdc-b010-e2c80b1b25ad; e4cb2e7c-9ffc-4051-b0ef-57e3aa5db123; f9367b19-969b-4437-8fc6-85028c7a07d4; e67962a4-c0fd-4a1b-a337-5c5c90070d6b; c79bf302-1f88-4c60-9503-eb851ac810cc; ecc2533c-eb66-4757-af5e-184133bc54d5; 89311e6f-a2a9-4c1e-88b8-52f244b1a3c7,Atendimento - Chat LIA; CALM - WhatsApp; CALM_CONCIERGE; CALM_CONCIERGE_WHATSAPP; FILA_CALM; FILA_CALM_RECHAMADA; FILA_CALM_RECHAMADA_WHATSAPP,27.0,27.0,1.0,,, 00:00:01.943,1.0, 00:00:01.943, 00:04:31.579, 00:04:30.579,, 00:00:01.000,,5.0
28/06/25 08:30,28/06/25 09:00,VERDADEIRO,voz,59b8462e-6fb1-4fdc-b010-e2c80b1b25ad; e4cb2e7c-9ffc-4051-b0ef-57e3aa5db123; f9367b19-969b-4437-8fc6-85028c7a07d4; e67962a4-c0fd-4a1b-a337-5c5c90070d6b; c79bf302-1f88-4c60-9503-eb851ac810cc; ecc2533c-eb66-4757-af5e-184133bc54d5; 89311e6f-a2a9-4c1e-88b8-52f244b1a3c7,Atendimento - Chat LIA; CALM - WhatsApp; CALM_CONCIERGE; CALM_CONCIERGE_WHATSAPP; FILA_CALM; FILA_CALM_RECHAMADA; FILA_CALM_RECHAMADA_WHATSAPP,32.0,32.0,1.0,,, 00:00:00.507,1.0, 00:00:00.507, 00:04:46.425, 00:04:45.425,, 00:00:01.000,,4.0
28/06/25 09:00,28/06/25 09:30,VERDADEIRO,voz,59b8462e-6fb1-4fdc-b010-e2c80b1b25ad; e4cb2e7c-9ffc-4051-b0ef-57e3aa5db123; f9367b19-969b-4437-8fc6-85028c7a07d4; e67962a4-c0fd-4a1b-a337-5c5c90070d6b; c79bf302-1f88-4c60-9503-eb851ac810cc; ecc2533c-eb66-4757-af5e-184133bc54d5; 89311e6f-a2a9-4c1e-88b8-52f244b1a3c7,Atendimento - Chat LIA; CALM - WhatsApp; CALM_CONCIERGE; CALM_CONCIERGE_WHATSAPP; FILA_CALM; FILA_CALM_RECHAMADA; FILA_CALM_RECHAMADA_WHATSAPP,39.0,39.0,1.0,,, 00:00:02.318,0.9743589743589745, 00:00:02.318, 00:05:25.967, 00:05:23.976, 00:00:37.644, 00:00:01.000,1.0,2.0
28/06/25 09:30,28/06/25 10:00,VERDADEIRO,voz,59b8462e-6fb1-4fdc-b010-e2c80b1b25ad; e4cb2e7c-9ffc-4051-b0ef-57e3aa5db123; f9367b19-969b-4437-8fc6-85028c7a07d4; e67962a4-c0fd-4a1b-a337-5c5c90070d6b; c79bf302-1f88-4c60-9503-eb851ac810cc; ecc2533c-eb66-4757-af5e-184133bc54d5; 89311e6f-a2a9-4c1e-88b8-52f244b1a3c7,Atendimento - Chat LIA; CALM - WhatsApp; CALM_CONCIERGE; CALM_CONCIERGE_WHATSAPP; FILA_CALM; FILA_CALM_RECHAMADA; FILA_CALM_RECHAMADA_WHATSAPP,50.0,47.0,0.94,2.0,0.04, 00:00:29.040,0.7755102040816326, 00:00:29.553, 00:06:14.770, 00:06:12.414, 00:01:02.379, 00:00:01.000,1.0,8.0
28/06/25 10:00,28/06/25 10:30,VERDADEIRO,voz,59b8462e-6fb1-4fdc-b010-e2c80b1b25ad; e4cb2e7c-9ffc-4051-b0ef-57e3aa5db123; f9367b19-969b-4437-8fc6-85028c7a07d4; e67962a4-c0fd-4a1b-a337-5c5c90070d6b; c79bf302-1f88-4c60-9503-eb851ac810cc; ecc2533c-eb66-4757-af5e-184133bc54d5; 89311e6f-a2a9-4c1e-88b8-52f244b1a3c7,Atendimento - Chat LIA; CALM - WhatsApp; CALM_CONCIERGE; CALM_CONCIERGE_WHATSAPP; FILA_CALM; FILA_CALM_RECHAMADA; FILA_CALM_RECHAMADA_WHATSAPP,51.0,50.0,0.9803921568627452,,, 00:00:34.950,0.76, 00:00:34.950, 00:05:12.369, 00:05:11.390,, 00:00:01.000,,13.0
28/06/25 10:30,28/06/25 11:00,VERDADEIRO,voz,59b8462e-6fb1-4fdc-b010-e2c80b1b25ad; e4cb2e7c-9ffc-4051-b0ef-57e3aa5db123; f9367b19-969b-4437-8fc6-85028c7a07d4; e67962a4-c0fd-4a1b-a337-5c5c90070d6b; c79bf302-1f88-4c60-9503-eb851ac810cc; ecc2533c-eb66-4757-af5e-184133bc54d5; 89311e6f-a2a9-4c1e-88b8-52f244b1a3c7,Atendimento - Chat LIA; CALM - WhatsApp; CALM_CONCIERGE; CALM_CONCIERGE_WHATSAPP; FILA_CALM; FILA_CALM_RECHAMADA; FILA_CALM_RECHAMADA_WHATSAPP,31.0,33.0,1.064516129032258,,, 00:00:08.065,0.9696969696969696, 00:00:08.065, 00:06:00.983, 00:05:57.566, 00:01:31.817, 00:00:01.000,1.0,3.0
28/06/25 11:00,28/06/25 11:30,VERDADEIRO,voz,59b8462e-6fb1-4fdc-b010-e2c80b1b25ad; e4cb2e7c-9ffc-4051-b0ef-57e3aa5db123; f9367b19-969b-4437-8fc6-85028c7a07d4; e67962a4-c0fd-4a1b-a337-5c5c90070d6b; c79bf302-1f88-4c60-9503-eb851ac810cc; ecc2533c-eb66-4757-af5e-184133bc54d5; 89311e6f-a2a9-4c1e-88b8-52f244b1a3c7,Atendimento - Chat LIA; CALM - WhatsApp; CALM_CONCIERGE; CALM_CONCIERGE_WHATSAPP; FILA_CALM; FILA_CALM_RECHAMADA; FILA_CALM_RECHAMADA_WHATSAPP,49.0,48.0,0.979591836734694,,, 00:00:02.156,1.0, 00:00:02.156, 00:04:49.005, 00:04:48.005,, 00:00:01.000,,6.0
28/06/25 11:30,28/06/25 12:00,VERDADEIRO,voz,59b8462e-6fb1-4fdc-b010-e2c80b1b25ad; e4cb2e7c-9ffc-4051-b0ef-57e3aa5db123; f9367b19-969b-4437-8fc6-85028c7a07d4; e67962a4-c0fd-4a1b-a337-5c5c90070d6b; c79bf302-1f88-4c60-9503-eb851ac810cc; ecc2533c-eb66-4757-af5e-184133bc54d5; 89311e6f-a2a9-4c1e-88b8-52f244b1a3c7,Atendimento - Chat LIA; CALM - WhatsApp; CALM_CONCIERGE; CALM_CONCIERGE_WHATSAPP; FILA_CALM; FILA_CALM_RECHAMADA; FILA_CALM_RECHAMADA_WHATSAPP,42.0,43.0,1.0238095238095235,,, 00:00:06.994,0.9302325581395348, 00:00:06.994, 00:05:30.509, 00:05:19.953, 00:02:16.957, 00:00:01.000,3.0,9.0
28/06/25 12:00,28/06/25 12:30,VERDADEIRO,voz,59b8462e-6fb1-4fdc-b010-e2c80b1b25ad; e4cb2e7c-9ffc-4051-b0ef-57e3aa5db123; f9367b19-969b-4437-8fc6-85028c7a07d4; e67962a4-c0fd-4a1b-a337-5c5c90070d6b; c79bf302-1f88-4c60-9503-eb851ac810cc; ecc2533c-eb66-4757-af5e-184133bc54d5; 89311e6f-a2a9-4c1e-88b8-52f244b1a3c7,Atendimento - Chat LIA; CALM - WhatsApp; CALM_CONCIERGE; CALM_CONCIERGE_WHATSAPP; FILA_CALM; FILA_CALM_RECHAMADA; FILA_CALM_RECHAMADA_WHATSAPP,37.0,36.0,0.972972972972973,,, 00:00:06.945,0.9722222222222222, 00:00:06.945, 00:06:34.150, 00:06:15.278, 00:03:32.635, 00:00:01.000,2.0,4.0
28/06/25 12:30,28/06/25 13:00,VERDADEIRO,voz,59b8462e-6fb1-4fdc-b010-e2c80b1b25ad; e4cb2e7c-9ffc-4051-b0ef-57e3aa5db123; f9367b19-969b-4437-8fc6-85028c7a07d4; e67962a4-c0fd-4a1b-a337-5c5c90070d6b; c79bf302-1f88-4c60-9503-eb851ac810cc; ecc2533c-eb66-4757-af5e-184133bc54d5; 89311e6f-a2a9-4c1e-88b8-52f244b1a3c7,Atendimento - Chat LIA; CALM - WhatsApp; CALM_CONCIERGE; CALM_CONCIERGE_WHATSAPP; FILA_CALM; FILA_CALM_RECHAMADA; FILA_CALM_RECHAMADA_WHATSAPP,38.0,39.0,1.0263157894736843,,, 00:00:00.433,1.0, 00:00:00.433, 00:05:10.342, 00:05:10.952, 00:02:01.827, 00:00:01.002,1.0,7.0
28/06/25 13:00,28/06/25 13:30,VERDADEIRO,voz,59b8462e-6fb1-4fdc-b010-e2c80b1b25ad; e4cb2e7c-9ffc-4051-b0ef-57e3aa5db123; f9367b19-969b-4437-8fc6-85028c7a07d4; e67962a4-c0fd-4a1b-a337-5c5c90070d6b; c79bf302-1f88-4c60-9503-eb851ac810cc; ecc2533c-eb66-4757-af5e-184133bc54d5; 89311e6f-a2a9-4c1e-88b8-52f244b1a3c7,Atendimento - Chat LIA; CALM - WhatsApp; CALM_CONCIERGE; CALM_CONCIERGE_WHATSAPP; FILA_CALM; FILA_CALM_RECHAMADA; FILA_CALM_RECHAMADA_WHATSAPP,32.0,32.0,1.0,,, 00:00:00.408,1.0, 00:00:00.408, 00:04:51.935, 00:04:38.636, 00:02:58.329, 00:00:01.000,2.0,4.0
