﻿início_do_intervalo,fim_do_intervalo,intervalo_concluído,tipo_de_mídia,id_da_fila,nome_da_fila,oferta,resposta,%_de_resposta,abandono,%_de_abandono,vma,%_de_nível_de_serviço,tempo_médio_de_espera,tratamento_médio,conversação_média,espera_média,tpc_médio,em_espera,transferir
28/06/25 00:00,28/06/25 00:30,VERDADEIRO,voz,f9367b19-969b-4437-8fc6-85028c7a07d4; c79bf302-1f88-4c60-9503-eb851ac810cc; ecc2533c-eb66-4757-af5e-184133bc54d5,CALM_CONCIERGE; FILA_CALM; FILA_CALM_RECHAMADA,,,,,,,,,,,,,,
28/06/25 00:30,28/06/25 01:00,VERDADEIRO,voz,f9367b19-969b-4437-8fc6-85028c7a07d4; c79bf302-1f88-4c60-9503-eb851ac810cc; ecc2533c-eb66-4757-af5e-184133bc54d5,CALM_CONCIERGE; FILA_CALM; FILA_CALM_RECHAMADA,,,,,,,,,,,,,,
28/06/25 01:00,28/06/25 01:30,VERDADEIRO,voz,f9367b19-969b-4437-8fc6-85028c7a07d4; c79bf302-1f88-4c60-9503-eb851ac810cc; ecc2533c-eb66-4757-af5e-184133bc54d5,CALM_CONCIERGE; FILA_CALM; FILA_CALM_RECHAMADA,,,,,,,,,,,,,,
28/06/25 01:30,28/06/25 02:00,VERDADEIRO,voz,f9367b19-969b-4437-8fc6-85028c7a07d4; c79bf302-1f88-4c60-9503-eb851ac810cc; ecc2533c-eb66-4757-af5e-184133bc54d5,CALM_CONCIERGE; FILA_CALM; FILA_CALM_RECHAMADA,,,,,,,,,,,,,,
28/06/25 02:00,28/06/25 02:30,VERDADEIRO,voz,f9367b19-969b-4437-8fc6-85028c7a07d4; c79bf302-1f88-4c60-9503-eb851ac810cc; ecc2533c-eb66-4757-af5e-184133bc54d5,CALM_CONCIERGE; FILA_CALM; FILA_CALM_RECHAMADA,,,,,,,,,,,,,,
28/06/25 02:30,28/06/25 03:00,VERDADEIRO,voz,f9367b19-969b-4437-8fc6-85028c7a07d4; c79bf302-1f88-4c60-9503-eb851ac810cc; ecc2533c-eb66-4757-af5e-184133bc54d5,CALM_CONCIERGE; FILA_CALM; FILA_CALM_RECHAMADA,,,,,,,,,,,,,,
28/06/25 03:00,28/06/25 03:30,VERDADEIRO,voz,f9367b19-969b-4437-8fc6-85028c7a07d4; c79bf302-1f88-4c60-9503-eb851ac810cc; ecc2533c-eb66-4757-af5e-184133bc54d5,CALM_CONCIERGE; FILA_CALM; FILA_CALM_RECHAMADA,,,,,,,,,,,,,,
28/06/25 03:30,28/06/25 04:00,VERDADEIRO,voz,f9367b19-969b-4437-8fc6-85028c7a07d4; c79bf302-1f88-4c60-9503-eb851ac810cc; ecc2533c-eb66-4757-af5e-184133bc54d5,CALM_CONCIERGE; FILA_CALM; FILA_CALM_RECHAMADA,,,,,,,,,,,,,,
28/06/25 04:00,28/06/25 04:30,VERDADEIRO,voz,f9367b19-969b-4437-8fc6-85028c7a07d4; c79bf302-1f88-4c60-9503-eb851ac810cc; ecc2533c-eb66-4757-af5e-184133bc54d5,CALM_CONCIERGE; FILA_CALM; FILA_CALM_RECHAMADA,,,,,,,,,,,,,,
28/06/25 04:30,28/06/25 05:00,VERDADEIRO,voz,f9367b19-969b-4437-8fc6-85028c7a07d4; c79bf302-1f88-4c60-9503-eb851ac810cc; ecc2533c-eb66-4757-af5e-184133bc54d5,CALM_CONCIERGE; FILA_CALM; FILA_CALM_RECHAMADA,,,,,,,,,,,,,,
28/06/25 05:00,28/06/25 05:30,VERDADEIRO,voz,f9367b19-969b-4437-8fc6-85028c7a07d4; c79bf302-1f88-4c60-9503-eb851ac810cc; ecc2533c-eb66-4757-af5e-184133bc54d5,CALM_CONCIERGE; FILA_CALM; FILA_CALM_RECHAMADA,,,,,,,,,,,,,,
